payment_id,policy_id,fecha_pago,monto_mxn,metodo
PAY0000001,P003089,13/03/2026,561.14,domiciliación
PAY0000002,P006108,2023-08-24,3632.53,tarjeta
PAY0000003,P003261,03-02-2024,4252.31,Transferencia
PAY0000004,P003956,16/09/2022,5176.46,oxxo
PAY0000005,P002178,2023-02-02,1551.52,oxxo
PAY0000006,P000165,2022-10-13,5429.24,TARJETA
PAY0000007,P000987,06/05/2022,1940.51,oxxo
PAY0000008,P001774,2026-01-11,4353.0,
PAY0000009,P006019,2021-02-16,4670.98,oxxo
PAY0000010,P001784,03-29-2021,4014.8,domiciliación
PAY0000011,P002173,2026-04-11,3991.78,TARJETA
PAY0000012,P005916,2024-06-23,2671.43,
PAY0000013,P000939,2025-09-13,5568.6,TARJETA
PAY0000014,P004661,2022-02-22,4388.4,tarjeta
PAY0000015,P004784,2022-08-30,775.95,SPEI
PAY0000016,P003322,08-09-2026,3753.24,oxxo
PAY0000017,P005537,2022-08-04,5167.37,Transferencia
PAY0000018,P004577,17/07/2021,1051.21,SPEI
PAY0000019,P006109,09-23-2021,5601.09,tarjeta
PAY0000020,P007002,11-10-2025,3471.3,tarjeta
PAY0000021,P007142,2023-06-15,5145.95,TARJETA
PAY0000022,P005558,2021-05-31,4413.29,Transferencia
PAY0000023,P003764,05/01/2023,3151.2,oxxo
PAY0000024,P005174,06-21-2023,3506.28,oxxo
PAY0000025,P006430,08-22-2025,3213.72,TARJETA
PAY0000026,P004459,2023-06-01,2666.94,domiciliación
PAY0000027,P004053,07/04/2026,2868.09,Transferencia
PAY0000028,P002017,2021-07-09,5961.16,Transferencia
PAY0000029,P007565,08-16-2022,1535.71,
PAY0000030,P005590,27/07/2023,2195.13,SPEI
PAY0000031,P002795,02/05/2025,667.23,Transferencia
PAY0000032,P006684,2025-09-08,4435.91,domiciliación
PAY0000033,P000454,04-04-2021,1070.18,oxxo
PAY0000034,P004735,2023-06-12,5880.42,tarjeta
PAY0000035,P000299,08-03-2026,2265.75,SPEI
PAY0000036,P002707,28/07/2021,3514.05,TARJETA
PAY0000037,P001076,26/06/2025,5623.79,
PAY0000038,P007016,06-09-2023,4300.23,oxxo
PAY0000039,P000394,03/02/2023,4136.43,TARJETA
PAY0000040,P005976,12/04/2022,4728.46,oxxo
PAY0000041,P001830,23/07/2025,667.5,Transferencia
PAY0000042,P007803,2023-04-28,5179.64,tarjeta
PAY0000043,P006397,2023-04-21,3288.92,TARJETA
PAY0000044,P007664,06-26-2021,4804.97,TARJETA
PAY0000045,P001199,2024-03-24,2411.12,tarjeta
PAY0000046,P003872,2025-12-24,2238.48,oxxo
PAY0000047,P002700,05-18-2024,3398.12,TARJETA
PAY0000048,P005072,2026-07-19,5022.74,TARJETA
PAY0000049,P006930,2026-02-11,1209.9,TARJETA
PAY0000050,P003889,2021-06-21,4919.84,Transferencia
PAY0000051,P001101,2022-11-14,3694.88,TARJETA
PAY0000052,P003362,09-28-2023,5800.07,Transferencia
PAY0000053,P002482,2026-08-13,5563.94,Transferencia
PAY0000054,P000720,01/12/2025,4313.72,TARJETA
PAY0000055,P007325,2024-06-09,706.12,tarjeta
PAY0000056,P007787,2021-03-04,4255.77,domiciliación
PAY0000057,P004351,16/06/2021,2942.83,Transferencia
PAY0000058,P002162,2026-05-19,5352.92,SPEI
PAY0000059,P007427,2021-07-24,1503.88,SPEI
PAY0000060,P003030,15/02/2023,552.6,
PAY0000061,P001011,2022-12-09,4128.88,
PAY0000062,P000681,19/11/2022,4119.0,
PAY0000063,P003041,06-19-2025,4124.38,tarjeta
PAY0000064,P007639,08-24-2025,2796.72,SPEI
PAY0000065,P003837,2026-07-20,2400.04,Transferencia
PAY0000066,P002669,2023-10-16,5355.53,Transferencia
PAY0000067,P002549,30/07/2022,2740.32,SPEI
PAY0000068,P007372,28/01/2023,4153.85,domiciliación
PAY0000069,P000521,06-08-2021,4839.67,domiciliación
PAY0000070,P006773,2023-07-19,4255.18,TARJETA
PAY0000071,P000858,06-18-2024,648.52,tarjeta
PAY0000072,P002489,01-31-2021,3292.4,Transferencia
PAY0000073,P003022,03-18-2024,5161.36,oxxo
PAY0000074,P006590,2023-02-06,1705.7,oxxo
PAY0000075,P006037,01-28-2022,3632.02,oxxo
PAY0000076,P007167,02/05/2026,3253.61,Transferencia
PAY0000077,P007520,27/10/2022,5108.44,TARJETA
PAY0000078,P003120,06-03-2023,4221.21,TARJETA
PAY0000079,P002543,08-19-2023,4505.58,tarjeta
PAY0000080,P005764,06-25-2025,1129.92,oxxo
PAY0000081,P007918,04-20-2022,1863.62,
