policy_id,customer_id,producto,fecha_inicio,fecha_fin,prima_mxn,estatus
P000001,C03781,HOGAR,08-25-2026,2027-08-25,42465.37,vencido
P000002,C00801,hogar,01-11-2024,10/01/2025,42661.1,active
P000003,C03944,GMM,2022-06-07,07/06/2023,48509.71,ACTIVE
P000004,C01029,Seguro de Vida,04/01/2023,01-04-2024,43618.35,Vigente
P000005,C04269,Vida,05/01/2022,05/01/2023,57649.37,cancelado
P000006,C03397,AUTO,2024-08-24,08-24-2025,23158.73,Cancelada
P000007,C03036,GMM,2023-09-06,09-05-2024,,activa
P000008,C01079,AUTO,21/10/2021,2022-10-21,14706.85,Vigente
P000009,C01191,HOGAR,03-09-2025,09/03/2026,24905.74,ACTIVE
P000010,C04969,gastos médicos,06-15-2026,2027-06-15,34099.87,lapsed
P000011,C01679,gastos médicos,07-09-2023,2024-07-08,5390.4,Activo
P000012,C03955,VIDA,18/11/2021,11-18-2022,,active
P000013,C04116,Automóvil,2026-06-22,22/06/2027,24646.28,active
P000014,C01579,Vida,17/11/2024,2025-11-17,15120.89,ACTIVE
P000015,C02371,Gastos medicos,04-11-2026,04-11-2027,13952.94,ACTIVE
P000016,C01779,auto,08/01/2021,2022-01-08,48357.04,lapsed
P000017,C03121,hogar,06-07-2022,07/06/2023,19895.2,Activo
P000018,C01240,Hogar,2024-10-30,10-30-2025,50665.06,lapsed
P000019,C04606,GMM,2024-09-11,09-11-2025,31323.4,lapsed
P000020,C04939,Auto,2022-01-20,01-20-2023,40039.95,activa
P000021,C03934,Gastos medicos,04-26-2025,2026-04-26,24808.15,Vencida
P000022,C01577,hogar,08-24-2025,24/08/2026,57196.11,Vigente
P000023,C01843,Automóvil,10/12/2022,2023-12-10,40734.9,ACTIVE
P000024,C03672,Casa,17/03/2022,17/03/2023,40288.72,active
P000025,C03300,Seguro de Vida,07-14-2021,2022-07-14,49170.91,activa
P000026,C02393,Auto,05-31-2022,31/05/2023,42658.51,Activo
P000027,C00990,Casa,08-22-2026,22/08/2027,54168.74,activa
P000028,C02884,gastos médicos,22/08/2025,22/08/2026,17558.31,Activo
P000029,C02686,Casa,07-03-2022,07-03-2023,42782.02,lapsed
P000030,C02098,Casa,02/06/2024,02/06/2025,34590.14,activa
P000031,C02812,GMM,2021-11-11,11-11-2022,43866.13,lapsed
P000032,C01161,auto,02-14-2025,02-14-2026,36471.6,ACTIVE
P000033,C01264,HOGAR,2025-04-21,21/04/2026,48809.86,activa
P000034,C00341,Automóvil,2024-09-02,2025-09-02,40938.58,Activo
P000035,C00547,auto,2023-07-05,07-04-2024,55732.15,Vigente
P000036,C00143,Gastos medicos,06-11-2025,11/06/2026,51440.78,Activo
P000037,C00008,Seguro de Vida,10-22-2023,2024-10-21,31190.65,Vigente
P000038,C01588,Automóvil,24/11/2024,24/11/2025,25526.65,active
P000039,C02059,Vida,12-04-2023,12-03-2024,24683.42,ACTIVE
P000040,C00411,VIDA,10-10-2025,10-10-2026,53867.4,cancelado
P000041,C04832,auto,27/08/2021,27/08/2022,51290.42,Activo
P000042,C04617,VIDA,01-20-2024,2025-01-19,59097.45,LAPSED
P000043,C03825,Auto,2022-01-07,2023-01-07,47215.67,lapsed
P000044,C03613,auto,05-24-2021,24/05/2022,28143.19,activa
P000045,C00266,VIDA,2023-09-27,2024-09-26,50983.86,active
P000046,C00109,VIDA,29/03/2025,2026-03-29,30873.03,Vigente
P000047,C00343,vida,19/12/2022,12-19-2023,22790.79,CANCELLED
P000048,C04627,Automóvil,04-18-2024,04-18-2025,11631.02,Vigente
P000049,C03431,Automóvil,24/07/2023,23/07/2024,46099.29,lapsed
P000050,C00582,Gastos medicos,09/11/2022,2023-11-09,50809.52,Cancelada
P000051,C00175,Gastos Médicos,06-12-2023,2024-06-11,32957.68,vencido
P000052,C03668,Hogar,2022-10-22,22/10/2023,42053.7,vencido
P000053,C00655,Casa,2022-11-15,2023-11-15,52892.54,Activo
P000054,C03679,Automóvil,15/11/2021,15/11/2022,49137.06,active
P000055,C03637,Casa,07/07/2022,07/07/2023,46267.88,active
P000056,C01714,Seguro de Vida,2026-08-25,25/08/2027,38206.25,vencido
P000057,C03868,Gastos medicos,29/05/2026,29/05/2027,8424.32,LAPSED
